demand [dɪˈmænd] (v.) [anki:play:q:0]	требовать, нуждаться [anki:play:a:0]
ancient [ˈeɪnʃənt] (adj.) [anki:play:q:0]	древний, старый [anki:play:a:0]
chin [ˈtʃɪn] (n.) [anki:play:q:0]	подбородок, треп [anki:play:a:0]
juice [ˈdʒuːs] (n.) [anki:play:q:0]	сок [anki:play:a:0]
final [ˈfaɪnəl] (adj.) [anki:play:q:0]	завершающий, окончательный [anki:play:a:0]
ceremony [ˈserəˌmoʊniː] (n.) [anki:play:q:0]	торжество, обряд, церемония [anki:play:a:0]
though [ˈðoʊ] (conj.) [anki:play:q:0]	хотя, несмотря на [anki:play:a:0]
punish [ˈpənɪʃ] (v.) [anki:play:q:0]	наказывать, карать [anki:play:a:0]
likely [ˈlaɪkliː] (adj.) [anki:play:q:0]	вероятный, возможный [anki:play:a:0]
snow [ˈsnoʊ] (n.) [anki:play:q:0]	снег, снегопад [anki:play:a:0]
remove [rɪˈmuːv] (v.) [anki:play:q:0]	передвигать, убирать, сносить [anki:play:a:0]
lump [ˈləmp] (n.) [anki:play:q:0]	глыба, ком [anki:play:a:0]
someone [someone] (pron.) [anki:play:q:0]	кто-нибудь, кто-то [anki:play:a:0]
factory [ˈfæktriː] (n.) [anki:play:q:0]	завод, фабрика [anki:play:a:0]
stop [ˈstɑp] (n.) [anki:play:q:0]	остановка, конец, пауза [anki:play:a:0]
union [ˈjuːnjən] (n.) [anki:play:q:0]	объединение, слияние [anki:play:a:0]
flour [ˈflæʊr] (n.) [anki:play:q:0]	мука, порошок [anki:play:a:0]
universe [ˈjuːnəˌvərs] (n.) [anki:play:q:0]	вселенная, мироздание [anki:play:a:0]
agreement [əˈgriːmənt] (n.) [anki:play:q:0]	договор, соглашение [anki:play:a:0]
unkind [unkind] (adj.) [anki:play:q:0]	злой, недобрый [anki:play:a:0]
shirt [ˈʃərt] (n.) [anki:play:q:0]	рубашка, блуза [anki:play:a:0]
steam [ˈstiːm] (n.) [anki:play:q:0]	пар [anki:play:a:0]
step [ˈstep] (n.) [anki:play:q:0]	шаг [anki:play:a:0]
she [ˈʃiː] (pron.) [anki:play:q:0]	она, оно (судно, авто и тд) [anki:play:a:0]
unpleasant [unpleasant] (adj.) [anki:play:q:0]	неприятный, противный [anki:play:a:0]
must [məs] (modal v.) [anki:play:q:0]	должен, обязан [anki:play:a:0]
separately [separately] (adv.) [anki:play:q:0]	отдельно, порознь [anki:play:a:0]
produce [prəˈduːs] (v.) [anki:play:q:0]	производить, выпускать [anki:play:a:0]
however [hæʊˈevər] (adv.) [anki:play:q:0]	как бы ни, какой бы ни [anki:play:a:0]
bitter [ˈbɪtər] (adj.) [anki:play:q:0]	горький, суровый [anki:play:a:0]
publicly [ˈpəblɪkliː ] (adv.) [anki:play:q:0]	публично, открыто [anki:play:a:0]
then [ˈðen] (adv.) [anki:play:q:0]	тогда, в то время [anki:play:a:0]
later [later] (adv.) [anki:play:q:0]	позже [anki:play:a:0]
travel [ˈtrævəl] (n.) [anki:play:q:0]	путешествие (далекое) [anki:play:a:0]
nearly [ˈnɪrliː] (adv.) [anki:play:q:0]	близко, недалеко [anki:play:a:0]
wherever [werˈevər] (conj.) [anki:play:q:0]	где? куда? где бы (то) ни было, куда бы (то) ни было [anki:play:a:0]
expensive [ɪkˈspensɪv] (adj.) [anki:play:q:0]	дорогой, ценный [anki:play:a:0]
help [ˈhelp] (n.) [anki:play:q:0]	помощь [anki:play:a:0]
own [ˈoʊn] (v.) [anki:play:q:0]	владеть, иметь [anki:play:a:0]
use [ˈjuːs] (n.) [anki:play:q:0]	использование, применение [anki:play:a:0]
when [ˈwen] (adv.) [anki:play:q:0]	когда? [anki:play:a:0]
angle [ˈæŋgəl] (n.) [anki:play:q:0]	угол, ракурс [anki:play:a:0]
knee [ˈniː] (n.) [anki:play:q:0]	колено [anki:play:a:0]
around [əˈræʊnd] (adv.) [anki:play:q:0]	вокруг, повсюду [anki:play:a:0]
literature [ˈlɪtərəˌtʃʊr] (n.) [anki:play:q:0]	литература [anki:play:a:0]
morally [morally] (adv.) [anki:play:q:0]	морально, нравственно [anki:play:a:0]
threat [ˈθret] (n.) [anki:play:q:0]	опасность, угроза [anki:play:a:0]
shadow [ˈʃædoʊ] (n.) [anki:play:q:0]	тень, пятно, полумрак [anki:play:a:0]
score [ˈskɔr] (n.) [anki:play:q:0]	счет (в игре) [anki:play:a:0]
blame [ˈbleɪm] (v.) [anki:play:q:0]	порицать, осуждать, критиковать [anki:play:a:0]
various [ˈveriːəs] (adj.) [anki:play:q:0]	различный, разный, многосторонний [anki:play:a:0]
event [ɪˈvent] (n.) [anki:play:q:0]	событие, происшествие [anki:play:a:0]
opportunity [ˌɑpərˈtuːnətiː] (n.) [anki:play:q:0]	удобный случай, благоприятная возможность [anki:play:a:0]
matter [ˈmætər] (n.) [anki:play:q:0]	вещество, материал [anki:play:a:0]
check [ˈtʃek] (n.) [anki:play:q:0]	контроль, проверка [anki:play:a:0]
economy [ɪˈkɑnəmiː] (n.) [anki:play:q:0]	хозяйство, экономика [anki:play:a:0]
ride [ˈraɪd] (v.) [anki:play:q:0]	ехать [anki:play:a:0]
communicate [kəˈmjuːnəˌkeɪt] (v.) [anki:play:q:0]	говорить, общаться [anki:play:a:0]
clearly [ˈklɪrliː] (adv.) [anki:play:q:0]	ясно, конечно [anki:play:a:0]
package [ˈpækɪdʒ] (n.) [anki:play:q:0]	пакет, сверток [anki:play:a:0]
meaning [ˈmiːnɪŋ] (n.) [anki:play:q:0]	значение, смысл [anki:play:a:0]
rub [ˈrəb] (v.) [anki:play:q:0]	тереться [anki:play:a:0]
same [ˈseɪm] (adj.) [anki:play:q:0]	тот (же) самый, одинаковый [anki:play:a:0]
cause [ˈkɔz] (n.) [anki:play:q:0]	причина, основание [anki:play:a:0]
temporary [ˈtempəˌreriː] (adj.) [anki:play:q:0]	временный [anki:play:a:0]
free [ˈfriː] (adv.) [anki:play:q:0]	свободно [anki:play:a:0]
wait [ˈweɪt] (v.) [anki:play:q:0]	ждать, выжидать [anki:play:a:0]
collection [kəˈlekʃən] (n.) [anki:play:q:0]	коллекция [anki:play:a:0]
toy [ˈtɔɪ] (n.) [anki:play:q:0]	забава, игрушка [anki:play:a:0]
comment [ˈkɑˌment] (v.) [anki:play:q:0]	снабжать комментарием [anki:play:a:0]
also [ˈɔlsoʊ] (adv.) [anki:play:q:0]	тоже, также [anki:play:a:0]
belong [bɪˈlɔŋ] (v.) [anki:play:q:0]	принадлежать, быть [anki:play:a:0]
information [ˌɪnfərˈmeɪʃən] (n.) [anki:play:q:0]	информация [anki:play:a:0]
tunnel [ˈtənəl] (n.) [anki:play:q:0]	тоннель [anki:play:a:0]
warm [ˈwɔrm] (v.) [anki:play:q:0]	греть, отапливать [anki:play:a:0]
warn [ˈwɔrn] (v.) [anki:play:q:0]	предупреждать, извещать [anki:play:a:0]
issue [ˈɪʃuː] (n.) [anki:play:q:0]	важная проблема, спорный вопрос, издание (печатной продукции) [anki:play:a:0]
plant [ˈplænt] (n.) [anki:play:q:0]	растение [anki:play:a:0]
unknown [unknown] (adj.) [anki:play:q:0]	неизвестный [anki:play:a:0]
great [ˈgreɪt] (adj.) [anki:play:q:0]	большой, огромный, великий [anki:play:a:0]
afford [əˈfɔrd] (v.) [anki:play:q:0]	быть в состоянии, позволить себе [anki:play:a:0]
watch [ˈwɑtʃ] (n.) [anki:play:q:0]	часы (наручные) [anki:play:a:0]
water [ˈwɔtər] (n.) [anki:play:q:0]	вода [anki:play:a:0]
look [ˈlʊk] (n.) [anki:play:q:0]	взгляд, внешность [anki:play:a:0]
next [ˈnekst] (adv.) [anki:play:q:0]	затем, потом [anki:play:a:0]
extra [ˈekstrə] (adv.) [anki:play:q:0]	отдельно, дополнительно [anki:play:a:0]
nerve [ˈnərv] (n.) [anki:play:q:0]	нерв, нервозность [anki:play:a:0]
attention [əˈtenʃən] (n.) [anki:play:q:0]	внимание, забота, уход [anki:play:a:0]
beauty [ˈbjuːtiː] (n.) [anki:play:q:0]	красота, красавица [anki:play:a:0]
boring [ˈbɔrɪŋ] (adj.) [anki:play:q:0]	надоедливый, неинтересный, скучный [anki:play:a:0]
live [ˈlɪv] (v.) [anki:play:q:0]	жить, существовать [anki:play:a:0]
when [ˈwen] (adv.) [anki:play:q:0]	когда, в то время как [anki:play:a:0]
artist [ˈɑrtɪst] (n.) [anki:play:q:0]	артист, художник [anki:play:a:0]
open [ˈoʊpən] (adj.) [anki:play:q:0]	открытый, распахнутый [anki:play:a:0]
bath [ˈbæθ] (n.) [anki:play:q:0]	ванна [anki:play:a:0]
trick [ˈtrɪk] (n.) [anki:play:q:0]	обман, уловка [anki:play:a:0]
decorate [ˈdekəˌreɪt] (v.) [anki:play:q:0]	украшать, убирать [anki:play:a:0]
welcome [ˈwelkəm] (v.) [anki:play:q:0]	приветствовать [anki:play:a:0]
region [ˈriːdʒən] (n.) [anki:play:q:0]	пространство, зона, район [anki:play:a:0]
sudden [ˈsədən] (adj.) [anki:play:q:0]	внезапный, неожиданный, неподготовленный [anki:play:a:0]
act [ˈækt] (v.) [anki:play:q:0]	действовать, поступать, исполнять роль [anki:play:a:0]
according to [əˈkɔrdɪŋ tə] (prep.) [anki:play:q:0]	в соответствии с, согласно, по словам [anki:play:a:0]
any [ˈeniː] (adv.) [anki:play:q:0]	сколько-нибудь, еще [anki:play:a:0]
first [ˈfərst] (n.) [anki:play:q:0]	первый элемент, начало [anki:play:a:0]
fight [ˈfaɪt] (n.) [anki:play:q:0]	бой, драка [anki:play:a:0]
pig [ˈpɪg] (n.) [anki:play:q:0]	свинья, кабан [anki:play:a:0]
drive [ˈdraɪv] (v.) [anki:play:q:0]	ездить, ехать, везти (на машине) [anki:play:a:0]
low [ˈloʊ] (adj.) [anki:play:q:0]	низкий, невысокий [anki:play:a:0]
add [ˈæd] (v.) [anki:play:q:0]	прибавлять, добавлять [anki:play:a:0]
lean [ˈliːn] (v.) [anki:play:q:0]	наклонять, нагибать [anki:play:a:0]
as [əz] (conj.) [anki:play:q:0]	так как, поскольку [anki:play:a:0]
seem [ˈsiːm] (v.) [anki:play:q:0]	казаться, представляться [anki:play:a:0]
whenever [weˈnevər] (conj.) [anki:play:q:0]	всякий раз, когда, когда бы ни [anki:play:a:0]
vote [ˈvoʊt] (v.) [anki:play:q:0]	голосовать [anki:play:a:0]
share [ˈʃer] (n.) [anki:play:q:0]	доля, часть [anki:play:a:0]
scare [ˈsker] (v.) [anki:play:q:0]	пугать, испугать [anki:play:a:0]
which [ˈwɪtʃ] (pron.) [anki:play:q:0]	который? какой? кто? [anki:play:a:0]
mention [ˈmenʃən] (v.) [anki:play:q:0]	упоминать, ссылаться [anki:play:a:0]
explosion [ɪkˈsploʊʒən] (n.) [anki:play:q:0]	взрыв, вспышка [anki:play:a:0]
run [ˈrən] (v.) [anki:play:q:0]	бежать, бегать [anki:play:a:0]
pick [ˈpɪk] (v.) [anki:play:q:0]	подбирать, выбирать, срывать [anki:play:a:0]
man [ˈmæn] (n.) [anki:play:q:0]	человек, мужчина [anki:play:a:0]
present [ˈprezənt] (v.) [anki:play:q:0]	преподносить, дарить, представлять [anki:play:a:0]
contract [ˈkɑnˌtrækt] (n.) [anki:play:q:0]	контракт, договор [anki:play:a:0]
celebrate [ˈseləˌbreɪt] (v.) [anki:play:q:0]	праздновать [anki:play:a:0]
sign [ˈsaɪn] (n.) [anki:play:q:0]	знак, символ [anki:play:a:0]
recently [recently] (adv.) [anki:play:q:0]	недавно, на днях [anki:play:a:0]
evil [ˈiːvəl] (adj.) [anki:play:q:0]	злой, дурной [anki:play:a:0]
report [rɪˈpɔrt] (v.) [anki:play:q:0]	сообщать, описывать, предоставлять рапорт [anki:play:a:0]
wooden [ˈwʊdən] (adj.) [anki:play:q:0]	деревянный [anki:play:a:0]
will [wəl] (modal v.) [anki:play:q:0]	буду (образует будущее время) [anki:play:a:0]
direct [dəˈrekt] (v.) [anki:play:q:0]	направлять [anki:play:a:0]
financial [fəˈnænʃəl] (adj.) [anki:play:q:0]	финансовый, денежный [anki:play:a:0]
his [(h)ɪz] (pron.) [anki:play:q:0]	его, свой, принадлежащий ему [anki:play:a:0]
successful [successful] (adj.) [anki:play:q:0]	благополучный, счастливый, удачный [anki:play:a:0]
chest [ˈtʃest] (n.) [anki:play:q:0]	ящик, сундук, грудная клетка (анат.) [anki:play:a:0]
frozen [ˈfroʊzən] (adj.) [anki:play:q:0]	замороженный [anki:play:a:0]
north [ˈnɔrθ] (adj.) [anki:play:q:0]	северный [anki:play:a:0]
winter [ˈwɪntər] (n.) [anki:play:q:0]	зима [anki:play:a:0]
west [ˈwest] (adv.) [anki:play:q:0]	к западу [anki:play:a:0]
wish [ˈwɪʃ] (v.) [anki:play:q:0]	желать, хотеть [anki:play:a:0]
in [ˈɪn] (prep.) [anki:play:q:0]	внутри, в, на, на, в пределах [anki:play:a:0]
since [ˈsɪns] (prep.) [anki:play:q:0]	с, начиная с [anki:play:a:0]
circle [ˈsərkəl] (n.) [anki:play:q:0]	круг, сфера [anki:play:a:0]
boot [ˈbuːt] (n.) [anki:play:q:0]	ботинок, сапог [anki:play:a:0]
kiss [ˈkɪs] (n.) [anki:play:q:0]	поцелуй [anki:play:a:0]
interested [ˈɪntrəstəd] (adj.) [anki:play:q:0]	интересующийся, увлеченный [anki:play:a:0]
library [ˈlaɪˌbreriː] (n.) [anki:play:q:0]	библиотека [anki:play:a:0]
project [ˈprɑˌdʒekt] (n.) [anki:play:q:0]	проект, замысел [anki:play:a:0]
awake [əˈweɪk] (adj.) [anki:play:q:0]	проснувшийся [anki:play:a:0]
queen [ˈkwiːn] (n.) [anki:play:q:0]	королева [anki:play:a:0]
dance [ˈdæns] (v.) [anki:play:q:0]	танцевать, плясать [anki:play:a:0]
atom [ˈætəm] (n.) [anki:play:q:0]	атом [anki:play:a:0]
system [ˈsɪstəm] (n.) [anki:play:q:0]	система [anki:play:a:0]
board [ˈbɔrd] (n.) [anki:play:q:0]	доска, планка [anki:play:a:0]
ought to [ˈɔt tu] (modal v.) [anki:play:q:0]	выражает должествование [anki:play:a:0]
nut [ˈnət] (n.) [anki:play:q:0]	орех [anki:play:a:0]
leaf [ˈliːf] (n.) [anki:play:q:0]	лист, листва [anki:play:a:0]
left [ˈleft] (adj.) [anki:play:q:0]	левый [anki:play:a:0]
particularly [pəˈtɪkjə(lər)liː] (adv.) [anki:play:q:0]	особенно, в частности [anki:play:a:0]
repair [rɪˈper] (v.) [anki:play:q:0]	ремонтировать, чинить [anki:play:a:0]
face [ˈfeɪs] (n.) [anki:play:q:0]	лицо, внешний вид [anki:play:a:0]
chance [ˈtʃæns] (n.) [anki:play:q:0]	случайность, риск, шанс [anki:play:a:0]
brain [ˈbreɪn] (n.) [anki:play:q:0]	мозг, ум, рассудок [anki:play:a:0]
yours [ˈjʊrz] (pron.) [anki:play:q:0]	ваш, принадлежащий вам, твой, свой [anki:play:a:0]
tend [ˈtend] (v.) [anki:play:q:0]	клонится, склоняться ( к чему-л.) [anki:play:a:0]
whole [ˈhoʊl] (n.) [anki:play:q:0]	все, целое [anki:play:a:0]
write [ˈraɪt] (v.) [anki:play:q:0]	писать, записывать [anki:play:a:0]
emotion [ɪˈmoʊʃən] (n.) [anki:play:q:0]	душевное волнение, эмоция [anki:play:a:0]
either [ˈiːðər] (adv.) [anki:play:q:0]	также, тоже [anki:play:a:0]
publish [ˈpəblɪʃ] (v.) [anki:play:q:0]	публиковать, печатать [anki:play:a:0]
similar [ˈsɪmələr] (adj.) [anki:play:q:0]	подобный, похожий [anki:play:a:0]
yard [ˈjɑrd] (n.) [anki:play:q:0]	внутренний двор [anki:play:a:0]
beyond [biːˈɑnd] (adv.) [anki:play:q:0]	далеко, вдали, на расстоянии [anki:play:a:0]
big [ˈbɪg] (adj.) [anki:play:q:0]	большой, крупный [anki:play:a:0]
yellow [ˈjeloʊ] (n.) [anki:play:q:0]	желтизна, желтый цвет [anki:play:a:0]
where [ˈwer] (adv.) [anki:play:q:0]	где? куда? откуда? как? [anki:play:a:0]
high [ˈhaɪ] (adj.) [anki:play:q:0]	высокий, превосходный [anki:play:a:0]
farmer [ˈfɑrmər] (n.) [anki:play:q:0]	фермер [anki:play:a:0]
since [ˈsɪns] (adv.) [anki:play:q:0]	тому назад [anki:play:a:0]
sure [ˈʃʊr] (adv.) [anki:play:q:0]	конечно [anki:play:a:0]
firm [ˈfərm] (n.) [anki:play:q:0]	фирма [anki:play:a:0]
firm [ˈfərm] (adj.) [anki:play:q:0]	крепкий, прочный [anki:play:a:0]
really [ˈriːliː] (adv.) [anki:play:q:0]	действительно, неужели? [anki:play:a:0]
candy [ˈkændiː] (n.) [anki:play:q:0]	леденец, конфета [anki:play:a:0]
soul [səʊl] (n.) [anki:play:q:0]	душа [anki:play:a:0]
depress [dɪˈpres] (v.) [anki:play:q:0]	подавлять, угнетать [anki:play:a:0]
aircraft [ˈɛrkræft] (n.) [anki:play:q:0]	самолет [anki:play:a:0]
resource [rɪˈsɔːs] (n.) [anki:play:q:0]	ресурс, запас, средство [anki:play:a:0]
assure [əˈʃʊə(r)] (v.) [anki:play:q:0]	уверять, заверять, убеждать [anki:play:a:0]
emotional [ɪˈməʊʃən(ə)l] (adj.) [anki:play:q:0]	эмоциональный, взволнованный [anki:play:a:0]
studio [ˈstjuːdɪəʊ] (n.) [anki:play:q:0]	студия, ателье, мастерская [anki:play:a:0]
threatening [ˈθretənɪŋ] (adj.) [anki:play:q:0]	грозящий, угрожающий [anki:play:a:0]
star [ˈstɑr] (v.) [anki:play:q:0]	играть в главных ролях, блистать [anki:play:a:0]
ink [ɪŋk] (n.) [anki:play:q:0]	чернила [anki:play:a:0]
timetable [ˈtaɪmˌteɪbəl] (n.) [anki:play:q:0]	расписание [anki:play:a:0]
